,index,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
582,582,CHEMBL4584967,Cc1cc2c(NC(=O)/C=C/c3ccccc3)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,active,515.6170000000003,6.065620000000005,2.0,6.0,6.349498205121633
583,583,CHEMBL4453010,C=CC(=O)Nc1cccc2c1cc(C)n2-c1nc2c(c(NCc3ccccc3)n1)COCC2,active,439.51900000000023,4.538220000000003,2.0,6.0,7.2343314452409855
584,584,CHEMBL4576017,Cc1cc2c(NC(=O)CCl)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,active,461.9530000000003,4.591020000000003,2.0,6.0,6.5113083016830595
585,585,CHEMBL4530376,CC(=O)Nc1cccc2c1cc(C)n2-c1nc2c(c(NCc3ccccc3)n1)COCC2,active,427.5080000000002,4.3721200000000024,2.0,6.0,6.888065723667318
586,586,CHEMBL3747513,Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,active,413.4810000000003,3.512620000000002,2.0,6.0,7.568636235841013
587,587,CHEMBL4581661,Cc1cc2c(C(N)=O)cccc2n1-c1nccc(NCc2ccccc2)n1,active,357.41700000000014,3.4399200000000016,2.0,5.0,6.793443955900971
588,588,CHEMBL4439188,Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)CCCCCC2,active,439.5630000000004,5.098920000000004,2.0,5.0,6.921905849593589
589,589,CHEMBL4455739,Cc1cc2c(C(N)=O)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)CCCCC2,active,425.53600000000034,4.708820000000004,2.0,5.0,7.08196966321512
590,590,CHEMBL4445574,CC(=O)Nc1cccc2c1ccn2-c1nc2c(c(NCc3ccccc3)n1)COCC2,active,413.4810000000002,4.0637000000000025,2.0,6.0,6.035221977977624
591,591,CHEMBL4468726,Cc1cc2c(C(N)=S)cccc2n1-c1nc2c(c(NCc3ccccc3)n1)COCC2,active,429.54900000000026,4.047920000000002,2.0,6.0,6.715343717211484
592,592,CHEMBL4280125,CC(C)N1CCN(CCNC2CCN(c3cccc(-c4cc5cc(F)ccc5[nH]4)c3)CC2)CC1,active,463.6450000000003,4.558400000000004,2.0,4.0,7.698970004336019
593,593,CHEMBL4549090,CC(C)N1CCN(CCNC2CCN(c3cccc(-c4cc5cc(C(=O)N(C)C)ccc5[nH]4)c3)CC2)CC1,inactive,516.7340000000004,4.121100000000003,2.0,5.0,4.503070351926785
594,594,CHEMBL3786710,CC(C)N1CCN(CCNC2CCN(c3cccc(-c4cc5cc(C(F)(F)F)ccc5[nH]4)c3)CC2)CC1,intermediate,513.6520000000003,5.438100000000005,2.0,4.0,5.337242168318426
595,595,CHEMBL3785307,Cc1ccc2[nH]c(-c3cccc(N4CCC(NCCN5CCN(C(C)C)CC5)CC4)c3)cc2c1,active,459.68200000000036,4.727720000000004,2.0,4.0,6.619788758288394
596,596,CHEMBL4445673,CC(C)N1CCN(CCNC2CCN(c3cccc(-c4cc5cc(C#N)ccc5[nH]4)c3)CC2)CC1,active,470.66500000000036,4.290980000000004,2.0,5.0,7.356547323513812
597,597,CHEMBL4450581,Cc1cc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)ccc1C#CCNC(C)C,active,461.63500000000016,4.933920000000004,1.0,7.0,8.154901959985743
598,598,CHEMBL4476693,[2H]C1([2H])C([2H])([2H])C([2H])([2H])C([2H])(Sc2ncc(COc3cc(F)c(C#CCOC(=O)NC4CCN(C)CC4)cc3F)n2-c2cccnc2)C1([2H])[2H],active,590.7439160020004,5.3311000000000055,1.0,8.0,8.096910013008056
599,599,CHEMBL3746912,COc1cccc2c(NCc3ccccc3)nc(-n3c(N)nc4ccccc43)nc12,active,396.4540000000001,4.1716000000000015,2.0,7.0,6.958607314841775
600,600,CHEMBL1613563,COc1ccc(C(=O)c2oc3ccccc3c2NC(C)=O)cc1,inactive,309.321,3.6308000000000016,1.0,4.0,4.0
601,601,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,intermediate,344.845,5.376700000000004,0.0,2.0,5.853871964321762
602,602,CHEMBL4458150,[N-]=[N+]=Nc1cccc(-n2c(COc3ccc(CCCO)cc3)nnc2SC2CCCC2)c1,intermediate,450.56800000000015,5.747700000000005,1.0,7.0,5.958607314841775
603,603,CHEMBL4576291,[N-]=[N+]=Nc1cccc(OCc2nnc(SC3CCCC3)n2-c2cccnc2)c1,active,393.4760000000001,5.217800000000004,0.0,7.0,6.119186407719209
604,604,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,inactive,344.845,5.376700000000004,0.0,2.0,4.920818753952375
605,605,CHEMBL4078658,C[C@H]1CCC/C=C/C(=O)c2c(O)c(Cl)c(O)c(Cl)c2CC(=O)O1,intermediate,359.20500000000015,3.801600000000003,2.0,5.0,5.102372908709558
606,606,CHEMBL2047407,CC(=O)OCC1=C(C)C[C@H]([C@@H](C)[C@H]2CC[C@H]3[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)[C@H]4CC[C@@]32C)OC1=O,inactive,512.6430000000004,3.923700000000003,1.0,7.0,4.657577319177793
607,607,CHEMBL4078658,C[C@H]1CCC/C=C/C(=O)c2c(O)c(Cl)c(O)c(Cl)c2CC(=O)O1,inactive,359.20500000000015,3.801600000000003,2.0,5.0,4.815308569182401
608,608,CHEMBL3220939,O=C(CCl)Nc1cccc(NC2=NS(=O)(=O)c3ccccc32)c1,active,349.7990000000001,2.4249,2.0,4.0,6.431798275933005
609,609,CHEMBL4572843,Fc1ccc(C(CCCNCC2CCc3[nH]c4ccc(F)cc4c3C2)c2ccc(F)cc2)cc1,intermediate,462.55900000000014,6.892000000000006,2.0,1.0,5.142667503568732
